"Import Information","Import Information"
"Files to import","Files to import"
"Number of unknown postal codes","Number of unknown postal codes"
"Every hour, extension will fetch information for 100 postal codes (cron job)","Every hour, extension will fetch information for 100 postal codes (cron job)"
"Email Notifications","Email Notifications"
"Import Geo data","Import Geo data"
"Settings","Settings"
"Import Geo Data","Import Geo Data"
"Advanced Reports","Advanced Reports"
"The file %1 has been imported.","The file %1 has been imported."
"SKU: %1","SKU: %1"
"Not logged in","Not logged in"
"Sunday","Sunday"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Sales by Attribute","Sales by Attribute"
"Sales by Category","Sales by Category"
"Product Performance","Product Performance"
"View Product","View Product"
"View Sales","View Sales"
"Product Performance / %1","Product Performance / %1"
"Sales by Coupon","Sales by Coupon"
"Sales by Customer","Sales by Customer"
"View Customer","View Customer"
"View Orders","View Orders"
"Sales by Customer Group","Sales by Customer Group"
"Sales by Day of Week","Sales by Day of Week"
"Sales by Geo-data","Sales by Geo-data"
"Sales by Hour","Sales by Hour"
"New vs Returning Customers","New vs Returning Customers"
"Sales Overview","Sales Overview"
"Sales by Payment Type","Sales by Payment Type"
"Orders","Orders"
"View Order","View Order"
"Process Orders","Process Orders"
